"","StockKeyLabel","StockKeyDescription","SpeciesScientificName","SpeciesCommonName","FisheriesGuild.y","DataCategory","AssessmentYear","AdviceCategory","lineDescription","FishingPressure","Ecoregion","StockSize","SBL","D3C1","D3C2","GES"
"54","had.27.7a","Haddock in Division 7.a","Melanogrammus aeglefinus","Haddock","Demersal","1",2019,"MSY","Precautionary approach","GREEN","Celtic Seas Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"55","had.27.7b-k","Haddock in Divisions 7.b-k","Melanogrammus aeglefinus","Haddock","Demersal","1",2019,"MSY","Maximum sustainable yield","RED","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREEN","GREEN","RED","GREEN","RED"
"56","had.27.7b-k","Haddock in Divisions 7.b-k","Melanogrammus aeglefinus","Haddock","Demersal","1",2019,"MSY","Precautionary approach","GREEN","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"57","her.27.6a7bc","Herring in divisions 6.a and 7.b-c","Clupea harengus","Herring","Pelagic","3",2019,"MSY","Maximum sustainable yield","GREY","Celtic Seas Ecoregion, Faroes Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"58","her.27.6a7bc","Herring in divisions 6.a and 7.b-c","Clupea harengus","Herring","Pelagic","3",2019,"MSY","Precautionary approach","GREY","Celtic Seas Ecoregion, Faroes Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"59","her.27.irls","Herring in divisions 7.a South of 52°30’N, 7.g-h, and 7.j-k","Clupea harengus","Herring","Pelagic","1",2019,"MSY","Maximum sustainable yield","RED","Celtic Seas Ecoregion","RED","RED","RED","RED","RED"
"60","her.27.irls","Herring in divisions 7.a South of 52°30’N, 7.g-h, and 7.j-k","Clupea harengus","Herring","Pelagic","1",2019,"MSY","Precautionary approach","ORANGE","Celtic Seas Ecoregion","RED","RED","ORANGE","RED","RED"
"61","her.27.nirs","Herring in Division 7.a North of 52°30’N","Clupea harengus","Herring","Pelagic","1",2019,"MSY","Maximum sustainable yield","GREEN","Celtic Seas Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"62","her.27.nirs","Herring in Division 7.a North of 52°30’N","Clupea harengus","Herring","Pelagic","1",2019,"MSY","Precautionary approach","GREEN","Celtic Seas Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"63","hke.27.3a46-8abd","Hake in subareas 4, 6, and 7, and divisions 3.a, 8.a-b, and 8.d, Northern stock","Merluccius merluccius","Hake","Demersal","1",2019,"MSY","Maximum sustainable yield","GREEN","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"64","hke.27.3a46-8abd","Hake in subareas 4, 6, and 7, and divisions 3.a, 8.a-b, and 8.d, Northern stock","Merluccius merluccius","Hake","Demersal","1",2019,"MSY","Precautionary approach","GREEN","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"65","hom.27.2a4a5b6a7a-ce-k8","Horse mackerel in Subarea 8 and divisions 2.a, 4.a, 5.b, 6.a, 7.a-c,e-k","Trachurus trachurus","Horse mackerel","Pelagic","1",2019,"MSY","Maximum sustainable yield","RED","Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","RED","RED","RED","RED","RED"
"66","hom.27.2a4a5b6a7a-ce-k8","Horse mackerel in Subarea 8 and divisions 2.a, 4.a, 5.b, 6.a, 7.a-c,e-k","Trachurus trachurus","Horse mackerel","Pelagic","1",2019,"MSY","Precautionary approach","ORANGE","Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","ORANGE","RED","ORANGE","ORANGE","GREY"
"67","ldb.27.7b-k8abd","Four-spot megrim in divisions 7.b-k, 8.a-b, and 8.d","Lepidorhombus boscii","Four-spot megrim","Benthic","5.9",2019,"PA/Stock status only","Maximum sustainable yield","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
